PHRASE-YT|de|18ef35a6b1d9570b	Phrase	Du bist sehr gut zu mir gewesen.	You have been very good to me.				Blue		Dictionary	de	en						2022-10-09 02:02	"
Du bist sehr gut zu mir gewesen.
"	"
You have been very good to me.
"	"
You've been very good to me.
"			1667959351505.mp3
PHRASE-YT|de|fb455e6bb583839c	Phrase	Das hast du sehr gut gemacht.	You did that very well.				Blue		Dictionary	de	en						2022-10-09 02:02	"
Das hast du sehr gut gemacht.
"	"
You did that very well.
"				1667959350639.mp3
PHRASE-YT|de|986668dcd247adaa	Phrase	Die USA sind sehr groß.	The US is very big.				Blue		Dictionary	de	en						2022-10-09 02:02	"
Die USA sind sehr groß.
"	"
The US is very big.
"	"
The USA is very big.
"			1667959349628.mp3
PHRASE-YT|de|ca49185bdc81762f	Phrase	Kann man es auch einfacher sagen?	Is it easier to say?				Blue		Dictionary	de	en						2022-10-08 11:04	"
Kann man es auch einfacher sagen?
"	"
Is it easier to say?
"				1667905457199.mp3
PHRASE-YT|de|a81972bccbca025a	Phrase	Das ist wirklich nicht so einfach.	It's really not that easy.				Blue		Dictionary	de	en						2022-10-08 11:04	"
Das ist wirklich nicht so einfach.
"	"
It's really not that easy.
"				1667905455363.mp3
PHRASE-YT|de|4e7965ec39ecc177	Phrase	Warum lässt du es nicht einfach so?	Why don't you just leave it that way?				Blue		Dictionary	de	en						2022-10-08 11:04	"
Warum lässt du es nicht einfach so?
"	"
Why don't you just leave it that way?
"	"
Why don't you just leave it like that?
"			1667905454315.mp3
PHRASE-YT|de|6b6ae4bf3435e9b1	Phrase	So einfach ist es nicht.	It's not that simple.				Blue		Dictionary	de	en						2022-10-08 11:04	"
So einfach ist es nicht.
"	"
It's not that simple.
"				1667905453193.mp3
PHRASE-YT|de|5885ba4a81be6f1c	Phrase	Das Leben ist nicht einfach.	Life is not easy.				Blue		Dictionary	de	en						2022-10-08 11:04	"
Das Leben ist nicht einfach.
"	"
Life is not easy.
"				1667905451174.mp3
PHRASE-YT|de|00283dd3f29919b0	Phrase	"Sagt ihm einfach, was ihr gesehen habt!"	Just tell him what you saw!				Blue		Dictionary	de	en						2022-10-08 11:04	"
Sagt ihm einfach, was ihr gesehen habt!
"	"
Just tell him what you saw!
"	"
Just tell him what you saw.
"			1667905449462.mp3
PHRASE-YT|de|8201eca4f4e0ade3	Phrase	Tom ließ mich einfach nicht gehen.	Tom just wouldn't let me go.				Blue		Dictionary	de	en						2022-10-08 11:04	"
Tom ließ mich einfach nicht gehen.
"	"
Tom just wouldn't let me go.
"	"
Tom wouldn't let me leave.
"			1667905448682.mp3
PHRASE-YT|de|d4462d69c7b8c98e	Phrase	Alle drei sahen Tom einfach nur an.	All three just looked at Tom.				Blue		Dictionary	de	en						2022-10-08 11:04	"
Alle drei sahen Tom einfach nur an.
"	"
All three just looked at Tom.
"	"
The three of them all just looked at Tom.
"			1667905447815.mp3
PHRASE-YT|de|0c16ef4790d8017e	Phrase	Tom hat nichts Gutes vor.	Tom has nothing good in mind.				Blue		Dictionary	de	en						2022-10-08 11:03	"
Tom hat nichts Gutes vor.
"	"
Tom has nothing good in mind.
"				1667905438836.mp3
PHRASE-YT|de|ae92ac14525bdf98	Phrase	So was kommt nicht alle Tage vor.	This doesn't happen every day.				Blue		Dictionary	de	en						2022-10-08 11:03	"
So was kommt nicht alle Tage vor.
"	"
This doesn't happen every day.
"				1667905438082.mp3
PHRASE-YT|de|ff3392ae52bbde8f	Phrase	Was hast du heute vor?	What are your plans for today?				Blue		Dictionary	de	en						2022-10-08 11:03	"
Was hast du heute vor?
"	"
What are your plans for today?
"	"
What are your plans for today?
"			1667905437332.mp3
PHRASE-YT|de|0130b86a0a9492b8	Phrase	Ich war vor zwei Jahren in Yokohama.	I was in Yokohama two years ago.				Blue		Dictionary	de	en						2022-10-08 11:03	"
Ich war vor zwei Jahren in Yokohama.
"	"
I was in Yokohama two years ago.
"				1667905436399.mp3
PHRASE-YT|de|b397bdd339135f2b	Phrase	Das weiß ich schon.	I already know that.				Blue		Dictionary	de	en						2022-10-08 11:03	"
Das weiß ich schon.
"	"
I already know that.
"				1667905427032.mp3
PHRASE-YT|de|19c4f9a11789c7b1	Phrase	"Viel tut, wer etwas gut tut."	A lot is done by those who do something well.				Blue		Dictionary	de	en						2022-10-08 11:03	"
Viel tut, wer etwas gut tut.
"	"
A lot is done by those who do something well.
"				1667905419345.mp3
